<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YUSP.B,D,20240321,000000,97.179688,97.179688,96.546875,96.546875,0,0
30YUSP.B,D,20240322,000000,97.320312,97.671875,97.320312,97.671875,0,0
30YUSP.B,D,20240325,000000,97.671875,97.6875,97.25,97.25,0,0
30YUSP.B,D,20240326,000000,97.398438,97.398438,97.195312,97.195312,0,0
30YUSP.B,D,20240327,000000,97.5,97.992188,97.5,97.992188,0,0
30YUSP.B,D,20240328,000000,98.078125,98.078125,98.078125,98.078125,0,0
30YUSP.B,D,20240401,000000,98.4375,98.4375,96.515625,96.515625,0,0
30YUSP.B,D,20240402,000000,96.515625,96.539062,95.734375,95.734375,0,0
30YUSP.B,D,20240403,000000,95.421875,95.421875,95.414062,95.414062,0,0
30YUSP.B,D,20240404,000000,95.570312,96.382812,95.570312,96.382812,0,0
30YUSP.B,D,20240405,000000,96.296875,96.296875,95.640625,95.640625,0,0
30YUSP.B,D,20240408,000000,95.640625,95.640625,94.679688,95.007812,0,0
30YUSP.B,D,20240409,000000,95.453125,95.804688,95.453125,95.804688,0,0
30YUSP.B,D,20240410,000000,95.929688,95.929688,94.601562,94.601562,0,0
30YUSP.B,D,20240411,000000,93.5625,93.5625,93.335938,93.335938,0,0
30YUSP.B,D,20240412,000000,93.8125,93.8125,93.8125,93.8125,0,0
30YUSP.B,D,20240415,000000,93.8125,93.8125,92.5625,92.5625,0,0
30YUSP.B,D,20240416,000000,92.132812,92.132812,91.53125,91.53125,0,0
30YUSP.B,D,20240417,000000,91.992188,92.117188,91.992188,92.117188,0,0
30YUSP.B,D,20240418,000000,92.953125,92.953125,92.476562,92.476562,0,0
30YUSP.B,D,20240419,000000,92.898438,92.898438,92.65625,92.65625,0,0
30YUSP.B,D,20240422,000000,92.65625,92.65625,92.21875,92.21875,0,0
30YUSP.B,D,20240423,000000,92.515625,92.75,92.515625,92.75,0,0
30YUSP.B,D,20240424,000000,92.179688,92.179688,91.492188,91.492188,0,0
30YUSP.B,D,20240425,000000,91.640625,91.640625,91.023438,91.023438,0,0
30YUSP.B,D,20240426,000000,91.601562,91.765625,91.601562,91.765625,0,0
30YUSP.B,D,20240429,000000,91.765625,92.109375,91.765625,92.109375,0,0
30YUSP.B,D,20240430,000000,92.0625,92.0625,91.679688,91.679688,0,0
30YUSP.B,D,20240501,000000,91.632812,91.632812,91.632812,91.632812,0,0
30YUSP.B,D,20240502,000000,91.632812,92.351562,91.632812,92.171875,0,0
30YUSP.B,D,20240503,000000,92.398438,93.234375,92.398438,93.234375,0,0
30YUSP.B,D,20240506,000000,93.234375,93.257812,93.234375,93.257812,0,0
30YUSP.B,D,20240507,000000,94.210938,94.640625,94.210938,94.640625,0,0
30YUSP.B,D,20240508,000000,94.125,94.125,93.960938,93.960938,0,0
30YUSP.B,D,20240509,000000,93.34375,93.585938,93.34375,93.585938,0,0
30YUSP.B,D,20240510,000000,100.40625,100.40625,99.835938,99.835938,0,0
30YUSP.B,D,20240513,000000,99.835938,100.078125,99.835938,100.078125,0,0
30YUSP.B,D,20240514,000000,100.101562,100.242188,100.101562,100.242188,0,0
30YUSP.B,D,20240515,000000,100.859375,101.359375,100.859375,101.359375,0,0
30YUSP.B,D,20240516,000000,101.359375,102.289062,101.359375,102.007812,0,0
30YUSP.B,D,20240517,000000,101.640625,101.640625,101.289062,101.289062,0,0
30YUSP.B,D,20240520,000000,101.289062,101.289062,100.734375,100.734375,0,0
30YUSP.B,D,20240521,000000,100.734375,101.265625,100.734375,101.265625,0,0
30YUSP.B,D,20240522,000000,100.867188,101.039062,100.867188,101.039062,0,0
30YUSP.B,D,20240523,000000,101.101562,101.101562,100.5,100.5,0,0
30YUSP.B,D,20240524,000000,100.78125,100.78125,100.695312,100.695312,0,0
30YUSP.B,D,20240528,000000,101.101562,101.101562,100.4375,100.4375,0,0
30YUSP.B,D,20240529,000000,99.125,99.125,98.554688,98.554688,0,0
30YUSP.B,D,20240530,000000,98.554688,98.804688,98.554688,98.804688,0,0
30YUSP.B,D,20240531,000000,99.054688,99.851562,99.054688,99.851562,0,0
30YUSP.B,D,20240603,000000,99.851562,101.125,99.851562,101.125,0,0
30YUSP.B,D,20240604,000000,101.554688,102.132812,101.554688,102.132812,0,0
30YUSP.B,D,20240605,000000,102.132812,102.273438,102.132812,102.273438,0,0
30YUSP.B,D,20240606,000000,102.851562,102.90625,102.851562,102.90625,0,0
30YUSP.B,D,20240607,000000,102.921875,102.921875,101.273438,101.273438,0,0
30YUSP.B,D,20240610,000000,101.273438,101.273438,100.539062,100.539062,0,0
30YUSP.B,D,20240611,000000,100.8125,100.8125,100.78125,100.78125,0,0
30YUSP.B,D,20240612,000000,101.46875,102.835938,101.46875,102.835938,0,0
30YUSP.B,D,20240613,000000,102.398438,102.890625,102.398438,102.890625,0,0
30YUSP.B,D,20240614,000000,104.054688,104.679688,104.054688,104.679688,0,0
30YUSP.B,D,20240617,000000,104.679688,104.679688,103.507812,103.507812,0,0
30YUSP.B,D,20240618,000000,103.507812,104.289062,103.507812,104.289062,0,0
30YUSP.B,D,20240620,000000,104.0625,104.0625,103.625,103.625,0,0
30YUSP.B,D,20240621,000000,104.25,104.25,103.570312,103.570312,0,0
30YUSP.B,D,20240624,000000,103.570312,103.96875,103.570312,103.96875,0,0
30YUSP.B,D,20240625,000000,104.1875,104.1875,103.945312,103.945312,0,0
30YUSP.B,D,20240626,000000,103.71875,103.71875,103.71875,103.71875,0,0
30YUSP.B,D,20240627,000000,102.46875,103.320312,102.46875,103.320312,0,0
30YUSP.B,D,20240628,000000,103.101562,103.101562,102.1875,102.1875,0,0
30YUSP.B,D,20240701,000000,102.1875,102.1875,99.710938,99.710938,0,0
30YUSP.B,D,20240702,000000,100.21875,100.21875,100.09375,100.09375,0,0
30YUSP.B,D,20240703,000000,100.398438,101.695312,100.398438,101.695312,0,0
30YUSP.B,D,20240705,000000,101.546875,102.0625,101.546875,102.0625,0,0
30YUSP.B,D,20240708,000000,102.0625,102.421875,102.0625,102.421875,0,0
30YUSP.B,D,20240709,000000,102.421875,102.421875,102.40625,102.40625,0,0
30YUSP.B,D,20240710,000000,102.46875,102.46875,102.289062,102.289062,0,0
30YUSP.B,D,20240711,000000,102.398438,103.945312,102.398438,103.945312,0,0
30YUSP.B,D,20240712,000000,103.203125,103.453125,103.203125,103.453125,0,0
30YUSP.B,D,20240715,000000,103.453125,103.453125,102.710938,102.710938,0,0
30YUSP.B,D,20240716,000000,103.570312,103.570312,103.515625,103.515625,0,0
30YUSP.B,D,20240717,000000,104.054688,104.054688,103.90625,103.90625,0,0
30YUSP.B,D,20240718,000000,103.789062,103.789062,103.789062,103.789062,0,0
30YUSP.B,D,20240719,000000,103.375,103.375,103.03125,103.03125,0,0
30YUSP.B,D,20240722,000000,103.03125,103.453125,103.03125,103.367188,0,0
30YUSP.B,D,20240723,000000,102.679688,102.765625,102.679688,102.765625,0,0
30YUSP.B,D,20240724,000000,102.65625,102.65625,102.1875,102.1875,0,0
30YUSP.B,D,20240725,000000,101.890625,102.539062,101.890625,102.539062,0,0
30YUSP.B,D,20240726,000000,102.03125,102.929688,102.03125,102.929688,0,0
30YUSP.B,D,20240729,000000,102.929688,103.328125,102.929688,103.28125,0,0
30YUSP.B,D,20240730,000000,103.179688,103.320312,103.179688,103.320312,0,0
30YUSP.B,D,20240731,000000,103.9375,104.398438,103.9375,104.398438,0,0
30YUSP.B,D,20240801,000000,105.09375,105.09375,105.09375,105.09375,0,0
30YUSP.B,D,20240802,000000,106.171875,107.976562,106.171875,107.976562,0,0
30YUSP.B,D,20240805,000000,107.976562,109.539062,107.976562,109.539062,0,0
30YUSP.B,D,20240806,000000,108.632812,108.632812,108.242188,108.242188,0,0
30YUSP.B,D,20240807,000000,106.898438,106.898438,106.664062,106.664062,0,0
30YUSP.B,D,20240808,000000,106.976562,106.976562,105.570312,105.570312,0,0
30YUSP.B,D,20240809,000000,99.859375,100.40625,99.859375,100.40625,0,0
30YUSP.B,D,20240812,000000,100.40625,100.40625,100.40625,100.40625,0,0
30YUSP.B,D,20240813,000000,100.773438,101.296875,100.773438,101.296875,0,0
30YUSP.B,D,20240814,000000,101.507812,102.28125,101.507812,102.28125,0,0
30YUSP.B,D,20240815,000000,102.148438,102.148438,101.03125,101.03125,0,0
30YUSP.B,D,20240816,000000,101.507812,101.507812,101.507812,101.507812,0,0
30YUSP.B,D,20240819,000000,101.507812,102.273438,101.507812,102.273438,0,0
30YUSP.B,D,20240820,000000,102.15625,102.65625,102.15625,102.65625,0,0
30YUSP.B,D,20240821,000000,103.070312,103.070312,102.8125,102.8125,0,0
30YUSP.B,D,20240822,000000,103.03125,103.03125,102.148438,102.148438,0,0
30YUSP.B,D,20240823,000000,102.0625,102.773438,102.0625,102.773438,0,0
30YUSP.B,D,20240826,000000,102.773438,102.96875,102.40625,102.40625,0,0
30YUSP.B,D,20240827,000000,102.492188,102.492188,101.625,101.625,0,0
30YUSP.B,D,20240828,000000,102.289062,102.289062,102.15625,102.15625,0,0
30YUSP.B,D,20240829,000000,102.289062,102.289062,101.570312,101.570312,0,0
30YUSP.B,D,20240830,000000,101.867188,101.867188,101.8125,101.8125,0,0
30YUSP.B,D,20240903,000000,101.039062,101.039062,101.039062,101.039062,0,0
30YUSP.B,D,20240904,000000,102.5,102.5,102.304688,102.304688,0,0
30YUSP.B,D,20240905,000000,103.109375,103.523438,103.109375,103.523438,0,0
30YUSP.B,D,20240906,000000,104.382812,104.382812,103.679688,103.679688,0,0
30YUSP.B,D,20240909,000000,103.679688,103.679688,103.539062,103.625,0,0
